Date,Open,High,Low,Close,Adj Close,Volume
02/12/2011,32600.0,32600.0,32160.0,32300.0,32300.0,"472,66K"
05/12/2011,32480.0,32780.0,32300.0,32400.0,32400.0,"154,43K"
06/12/2011,32500.0,32500.0,32000.0,32000.0,32000.0,"114,61K"
07/12/2011,32000.0,32220.0,31600.0,32000.0,32000.0,"42,68K"
09/12/2011,31520.0,32500.0,31520.0,32480.0,32480.0,"74,85K"
12/12/2011,32460.0,32480.0,32460.0,32480.0,32480.0,"32,48K"
13/12/2011,32320.0,33300.0,32320.0,32880.0,32880.0,"1,34M"
14/12/2011,32340.0,32500.0,32340.0,32460.0,32460.0,"45,83K"
15/12/2011,32700.0,32900.0,32420.0,32600.0,32600.0,"56,18K"
16/12/2011,32600.0,32780.0,32600.0,32780.0,32780.0,"81,88K"
19/12/2011,33000.0,33040.0,32640.0,32800.0,32800.0,"89,20K"
20/12/2011,33000.0,33200.0,32900.0,32900.0,32900.0,"333,39K"
21/12/2011,32900.0,33100.0,32900.0,33100.0,33100.0,"312,93K"
22/12/2011,33140.0,33200.0,33040.0,33200.0,33200.0,"107,74K"
23/12/2011,33200.0,33300.0,33180.0,33180.0,33180.0,"60,78K"
26/12/2011,33160.0,33300.0,33100.0,33300.0,33300.0,"82,32K"
27/12/2011,33280.0,33320.0,33100.0,33200.0,33200.0,"148,96K"
28/12/2011,32500.0,32980.0,32500.0,32940.0,32940.0,"24,75K"
29/12/2011,32760.0,33000.0,32700.0,33000.0,33000.0,"35,81K"
02/01/2012,32500.0,32980.0,32500.0,32960.0,32960.0,"9,30K"
03/01/2012,33500.0,33500.0,33100.0,33400.0,33400.0,"37,41K"
04/01/2012,33300.0,33680.0,33300.0,33680.0,33680.0,"91,65K"
05/01/2012,33220.0,33700.0,33220.0,33700.0,33700.0,"16,75K"
06/01/2012,33500.0,33500.0,32900.0,33440.0,33440.0,"206,75K"
10/01/2012,33360.0,33360.0,33000.0,33220.0,33220.0,"79,47K"
11/01/2012,33320.0,33320.0,32800.0,32800.0,32800.0,"70,01K"
12/01/2012,32820.0,32880.0,32620.0,32700.0,32700.0,"35,72K"
13/01/2012,32700.0,32700.0,32400.0,32420.0,32420.0,"68,56K"
16/01/2012,32400.0,32400.0,32200.0,32200.0,32200.0,"100,28K"
17/01/2012,32700.0,32700.0,31660.0,31760.0,31760.0,"168,51K"
18/01/2012,31800.0,32580.0,31800.0,32580.0,32580.0,"53,41K"
19/01/2012,32600.0,32640.0,32400.0,32400.0,32400.0,"80,75K"
20/01/2012,32580.0,32580.0,32420.0,32520.0,32520.0,"25,96K"
23/01/2012,32540.0,32560.0,32120.0,32120.0,32120.0,"82,32K"
24/01/2012,32200.0,32460.0,31620.0,31920.0,31920.0,"516,39K"
25/01/2012,32400.0,32400.0,31600.0,31980.0,31980.0,"126,78K"
26/01/2012,31920.0,32400.0,31800.0,32080.0,32080.0,"292,29K"
27/01/2012,31820.0,32000.0,31700.0,31720.0,31720.0,"16,95K"
30/01/2012,31600.0,32180.0,31600.0,31700.0,31700.0,"68,50K"
31/01/2012,32000.0,32120.0,31800.0,32100.0,32100.0,"57,24K"
01/02/2012,32180.0,32300.0,32000.0,32300.0,32300.0,"95,38K"
