Date,Open,High,Low,Close,Adj Close,Volume
09/01/2014,18700.0,18880.0,18360.0,18880.0,18880.0,"96,55K"
10/01/2014,19000.0,19000.0,18300.0,18300.0,18300.0,"65,11K"
13/01/2014,18200.0,18680.0,18200.0,18680.0,18680.0,"51,98K"
14/01/2014,18680.0,19200.0,18680.0,19200.0,19200.0,"71,22K"
15/01/2014,19000.0,19100.0,19000.0,19100.0,19100.0,"31,16K"
16/01/2014,19000.0,19000.0,18900.0,18900.0,18900.0,"126,43K"
17/01/2014,18880.0,19040.0,18880.0,19020.0,19020.0,"72,20K"
20/01/2014,19100.0,19300.0,19100.0,19120.0,19120.0,"27,21K"
21/01/2014,19140.0,19140.0,19000.0,19020.0,19020.0,"70,16K"
22/01/2014,19100.0,19500.0,19020.0,19500.0,19500.0,"1,47M"
23/01/2014,19400.0,19400.0,18520.0,18520.0,18520.0,"67,96K"
24/01/2014,18600.0,18680.0,18400.0,18680.0,18680.0,"57,49K"
27/01/2014,18140.0,18680.0,17660.0,17660.0,17660.0,"98,04K"
28/01/2014,17660.0,17720.0,17000.0,17300.0,17300.0,"173,42K"
29/01/2014,17000.0,17400.0,17000.0,17120.0,17120.0,"140,09K"
30/01/2014,17000.0,17000.0,16800.0,17000.0,17000.0,"188,81K"
31/01/2014,17000.0,18180.0,17000.0,18000.0,18000.0,"874,45K"
03/02/2014,17820.0,18020.0,17820.0,18000.0,18000.0,"187,32K"
04/02/2014,18000.0,18100.0,17840.0,17840.0,17840.0,"165,97K"
05/02/2014,17820.0,18160.0,17800.0,18160.0,18160.0,"102,45K"
06/02/2014,18100.0,18480.0,18100.0,18440.0,18440.0,"85,63K"
07/02/2014,18680.0,18860.0,18500.0,18860.0,18860.0,"77,56K"
10/02/2014,18800.0,18800.0,18240.0,18280.0,18280.0,"18,11K"
11/02/2014,18300.0,18500.0,18260.0,18280.0,18280.0,"107,97K"
12/02/2014,18320.0,18500.0,18320.0,18500.0,18500.0,"285,64K"
13/02/2014,18400.0,18800.0,18400.0,18700.0,18700.0,"390,46K"
14/02/2014,18700.0,19320.0,18700.0,18940.0,18940.0,"104,89K"
17/02/2014,18940.0,19040.0,18900.0,19040.0,19040.0,"52,12K"
18/02/2014,19040.0,19640.0,19040.0,19500.0,19500.0,"304,66K"
19/02/2014,19480.0,19900.0,19480.0,19800.0,19800.0,"580,92K"
20/02/2014,19980.0,19980.0,19480.0,19480.0,19480.0,"432,42K"
21/02/2014,19700.0,19700.0,18940.0,19100.0,19100.0,"56,59K"
24/02/2014,19100.0,19480.0,19100.0,19480.0,19480.0,"191,25K"
25/02/2014,19100.0,19100.0,18500.0,18500.0,18500.0,"89,08K"
26/02/2014,18500.0,18680.0,18500.0,18600.0,18600.0,"210,19K"
27/02/2014,18600.0,19000.0,18600.0,18600.0,18600.0,"152,47K"
