Date,Open,High,Low,Close,Adj Close,Volume
06/07/2011,17020.0,17020.0,16820.0,16860.0,16860.0,"66,00K"
07/07/2011,16860.0,16860.0,16860.0,16860.0,16860.0,"1,00K"
11/07/2011,16240.0,16240.0,16240.0,16240.0,16240.0,"22,73K"
12/07/2011,16020.0,16020.0,16000.0,16000.0,16000.0,"15,00K"
13/07/2011,16200.0,16200.0,16200.0,16200.0,16200.0,"18,00K"
14/07/2011,16000.0,16100.0,15800.0,15900.0,15900.0,"39,50K"
15/07/2011,15800.0,15800.0,15800.0,15800.0,15800.0,"5,00K"
18/07/2011,15780.0,15860.0,15780.0,15860.0,15860.0,"11,50K"
19/07/2011,16100.0,16500.0,16100.0,16500.0,16500.0,"35,81K"
21/07/2011,16500.0,16500.0,16420.0,16420.0,16420.0,"35,57K"
22/07/2011,16400.0,16440.0,16340.0,16340.0,16340.0,"32,05K"
25/07/2011,16500.0,16660.0,16500.0,16640.0,16640.0,"54,00K"
26/07/2011,16620.0,16700.0,16620.0,16700.0,16700.0,"23,20K"
27/07/2011,16640.0,16700.0,16600.0,16700.0,16700.0,"202,79K"
28/07/2011,16720.0,16760.0,16720.0,16740.0,16740.0,"123,78K"
29/07/2011,16700.0,16700.0,16640.0,16640.0,16640.0,"43,49K"
01/08/2011,16700.0,16700.0,16700.0,16700.0,16700.0,"10,97K"
02/08/2011,16720.0,16720.0,16620.0,16620.0,16620.0,"12,41K"
03/08/2011,16400.0,16560.0,16400.0,16560.0,16560.0,"29,41K"
04/08/2011,16280.0,16280.0,16100.0,16120.0,16120.0,"138,78K"
05/08/2011,15900.0,16040.0,15760.0,16040.0,16040.0,"120,00K"
08/08/2011,15460.0,15680.0,15460.0,15540.0,15540.0,"346,35K"
09/08/2011,16000.0,16000.0,15840.0,15940.0,15940.0,"1,17M"
10/08/2011,15820.0,15900.0,15800.0,15900.0,15900.0,"522,00K"
11/08/2011,15960.0,16200.0,15960.0,16040.0,16040.0,"434,07K"
12/08/2011,16200.0,16200.0,16200.0,16200.0,16200.0,"19,17K"
16/08/2011,16100.0,16100.0,16080.0,16080.0,16080.0,"51,70K"
17/08/2011,16300.0,16400.0,16300.0,16320.0,16320.0,"740,95K"
18/08/2011,16000.0,16000.0,15820.0,15840.0,15840.0,"366,79K"
19/08/2011,15840.0,15840.0,15740.0,15820.0,15820.0,"25,46K"
22/08/2011,15800.0,15800.0,15760.0,15760.0,15760.0,"17,55K"
23/08/2011,15900.0,16000.0,15900.0,16000.0,16000.0,"63,36K"
24/08/2011,16160.0,16160.0,16020.0,16060.0,16060.0,"95,65K"
25/08/2011,15940.0,16000.0,15940.0,15940.0,15940.0,"13,82K"
26/08/2011,16080.0,16080.0,16000.0,16080.0,16080.0,"17,92K"
29/08/2011,16300.0,16400.0,16200.0,16240.0,16240.0,"138,96K"
30/08/2011,16440.0,16480.0,16440.0,16480.0,16480.0,"147,42K"
31/08/2011,16400.0,16500.0,16380.0,16460.0,16460.0,"779,99K"
01/09/2011,16540.0,16540.0,16540.0,16540.0,16540.0,"150,00K"
02/09/2011,16340.0,16680.0,16340.0,16680.0,16680.0,"153,89K"
05/09/2011,16120.0,16120.0,16120.0,16120.0,16120.0,"1,89K"
06/09/2011,16180.0,16220.0,16180.0,16180.0,16180.0,"387,03K"
07/09/2011,16600.0,16600.0,15960.0,16480.0,16480.0,"226,16K"
08/09/2011,16440.0,16440.0,16440.0,16440.0,16440.0,"7,41K"
09/09/2011,16340.0,16360.0,16320.0,16360.0,16360.0,"60,67K"
12/09/2011,16200.0,16200.0,16000.0,16120.0,16120.0,"9,32K"
